genero,edad,area,modalidad_cursada,nombre_actividad,fecha_inicio,fecha_fin
Femenino,55,DIR. GRAL. DE DELEGACIONES BARRIALES,AUTOGESTIONADO,TALLER DE COMUNICACION Y EL TELETRABAJO: HACIA UN NUEVO PARADIGMA,18/3/2021,02/04/2021
Femenino,46,DPTO. DE MESA DE ENTRADA,AUTOGESTIONADO,TALLER DE COMUNICACION Y EL TELETRABAJO: HACIA UN NUEVO PARADIGMA,18/3/2021,02/04/2021
Femenino,36,DIR. GRAL. DE LICENCIAS DE CONDUCIR Y ANTECEDENTES DE TRANSITO,AUTOGESTIONADO,TALLER DE COMUNICACION Y EL TELETRABAJO: HACIA UN NUEVO PARADIGMA,18/3/2021,02/04/2021
Femenino,52,DIRECCION COORDINACION LOGISTICA Y OPERATIVOS,AUTOGESTIONADO,TALLER DE COMUNICACION Y EL TELETRABAJO: HACIA UN NUEVO PARADIGMA,18/3/2021,02/04/2021
Femenino,42,DIR. GRAL. DE ATENCION Y CERCANIA CIUDADANA,AUTOGESTIONADO,TALLER DE COMUNICACION Y EL TELETRABAJO: HACIA UN NUEVO PARADIGMA,18/3/2021,02/04/2021
Masculino,44,TRIBUNALES DE FALTAS ADMINISTRACION GENERAL,AUTOGESTIONADO,TALLER DE COMUNICACION Y EL TELETRABAJO: HACIA UN NUEVO PARADIGMA,18/3/2021,02/04/2021
Masculino,44,DIR. GRAL. PRIMER NIVEL DE ATENCION,AUTOGESTIONADO,TALLER DE COMUNICACION Y EL TELETRABAJO: HACIA UN NUEVO PARADIGMA,18/3/2021,02/04/2021
Masculino,42,SUBSEC. DE TRANSITO Y SEGURIDAD VIAL,AUTOGESTIONADO,TALLER DE COMUNICACION Y EL TELETRABAJO: HACIA UN NUEVO PARADIGMA,18/3/2021,02/04/2021
Femenino,43,SUBSECRETARIA DE TRANSPORTE,AUTOGESTIONADO,TALLER DE COMUNICACION Y EL TELETRABAJO: HACIA UN NUEVO PARADIGMA,18/3/2021,02/04/2021
Femenino,40,NULL,AUTOGESTIONADO,TALLER DE COMUNICACION Y EL TELETRABAJO: HACIA UN NUEVO PARADIGMA,18/3/2021,02/04/2021
Femenino,44,ESTACIONAMIENTO MEDIDO,AUTOGESTIONADO,TALLER DE COMUNICACION Y EL TELETRABAJO: HACIA UN NUEVO PARADIGMA,18/3/2021,02/04/2021
Femenino,37,JUZGADO ADMINISTRATIVO DE FALTAS N° 2,AUTOGESTIONADO,TALLER DE COMUNICACION Y EL TELETRABAJO: HACIA UN NUEVO PARADIGMA,18/3/2021,02/04/2021
Femenino,50,SALUD,AUTOGESTIONADO,TALLER DE COMUNICACION Y EL TELETRABAJO: HACIA UN NUEVO PARADIGMA,18/3/2021,02/04/2021
Femenino,53,DIR. GRAL. PRIMER NIVEL DE ATENCION,AUTOGESTIONADO,TALLER DE COMUNICACION Y EL TELETRABAJO: HACIA UN NUEVO PARADIGMA,18/3/2021,02/04/2021
Femenino,42,DIR. DE DEFUNCIONES,AUTOGESTIONADO,TALLER DE COMUNICACION Y EL TELETRABAJO: HACIA UN NUEVO PARADIGMA,18/3/2021,02/04/2021
Femenino,55,SEC. DE AMBIENTE Y DESARROLLO SUSTENTABLE,AUTOGESTIONADO,TALLER DE COMUNICACION Y EL TELETRABAJO: HACIA UN NUEVO PARADIGMA,18/3/2021,02/04/2021
Femenino,44,DIRECCION DE FISCALIZACION COMERCIAL,AUTOGESTIONADO,TALLER DE COMUNICACION Y EL TELETRABAJO: HACIA UN NUEVO PARADIGMA,18/3/2021,02/04/2021
Femenino,63,JARDIN MITAI ROGA 4,AUTOGESTIONADO,TALLER DE COMUNICACION Y EL TELETRABAJO: HACIA UN NUEVO PARADIGMA,18/3/2021,02/04/2021
Masculino,46,DIRECCION DE TRANSITO AHORA EN COMISION DE LA A.O.E.M,CURSO ,HABILIDADES Y COMPETENCIAS PARA EL DESARROLLO INTEGRAL DEL AGENTE,14/4/2021,19/04/2021
Femenino,20,SUBSECRETARIA DE MODERNIZACION,CURSO ,HABILIDADES Y COMPETENCIAS PARA EL DESARROLLO INTEGRAL DEL AGENTE,14/4/2021,19/04/2021
Femenino,49,CASA BICENTENARIO,CURSO ,HABILIDADES Y COMPETENCIAS PARA EL DESARROLLO INTEGRAL DEL AGENTE,14/4/2021,19/04/2021
Femenino,47,DIRECCION DE TRANSITO,CURSO ,HABILIDADES Y COMPETENCIAS PARA EL DESARROLLO INTEGRAL DEL AGENTE,14/4/2021,19/04/2021
Femenino,40,DELEGACION PIRAYUI NUEVO,CURSO ,HABILIDADES Y COMPETENCIAS PARA EL DESARROLLO INTEGRAL DEL AGENTE,14/4/2021,19/04/2021
Femenino,48,SUBSECRETARIA DE COORD.DE POLITICAS SOCIALES,CURSO ,HABILIDADES Y COMPETENCIAS PARA EL DESARROLLO INTEGRAL DEL AGENTE,14/4/2021,19/04/2021
Femenino,34,BALLET FOLKLORICO LAS 7 CORRIENTES,CURSO ,HABILIDADES Y COMPETENCIAS PARA EL DESARROLLO INTEGRAL DEL AGENTE,14/4/2021,19/04/2021
Femenino,29,DIRECCION GENERAL DE NINEZ ADOLESCENCIA Y FAMILIA,CURSO ,HABILIDADES Y COMPETENCIAS PARA EL DESARROLLO INTEGRAL DEL AGENTE,14/4/2021,19/04/2021
Femenino,55,DIRECCION GENERAL DE DESPACHO,CURSO ,HABILIDADES Y COMPETENCIAS PARA EL DESARROLLO INTEGRAL DEL AGENTE,14/4/2021,19/04/2021
Femenino,46,DELEGACION BARRIO  17 DE AGOSTO,CURSO ,HABILIDADES Y COMPETENCIAS PARA EL DESARROLLO INTEGRAL DEL AGENTE,14/4/2021,19/04/2021
Femenino,55,SALUD,CURSO ,HABILIDADES Y COMPETENCIAS PARA EL DESARROLLO INTEGRAL DEL AGENTE,14/4/2021,19/04/2021
Femenino,42,DIRECCION DE ESPACIO RESERVADO,CURSO ,HABILIDADES Y COMPETENCIAS PARA EL DESARROLLO INTEGRAL DEL AGENTE,14/4/2021,19/04/2021
Femenino,56,DIRECCION ADMINISTRACION,CURSO ,HABILIDADES Y COMPETENCIAS PARA EL DESARROLLO INTEGRAL DEL AGENTE,14/4/2021,19/04/2021
Masculino,37,SECRETARIA PRIVADA,CURSO ,HABILIDADES Y COMPETENCIAS PARA EL DESARROLLO INTEGRAL DEL AGENTE,14/4/2021,19/04/2021
Femenino,35,DIRECCION GRAL. DE RR HH,CURSO ,HABILIDADES Y COMPETENCIAS PARA EL DESARROLLO INTEGRAL DEL AGENTE,14/4/2021,19/04/2021
Masculino,61,SUBSECRETARIA DE SALUD,CURSO ,HABILIDADES Y COMPETENCIAS PARA EL DESARROLLO INTEGRAL DEL AGENTE,14/4/2021,19/04/2021
Masculino,43,MESA DE ENTRADA SUBSECRETARIA DE TRANSITO,CURSO ,HABILIDADES Y COMPETENCIAS PARA EL DESARROLLO INTEGRAL DEL AGENTE,14/4/2021,19/04/2021
Femenino,59,DIRECCION OBSERVATORIO TURISTICO,CURSO ,HABILIDADES Y COMPETENCIAS PARA EL DESARROLLO INTEGRAL DEL AGENTE,14/4/2021,19/04/2021
Femenino,51,DELEGACION,CURSO ,HABILIDADES Y COMPETENCIAS PARA EL DESARROLLO INTEGRAL DEL AGENTE,14/4/2021,19/04/2021
Femenino,52,DIRECCION COORDINACION LOGISTICA Y OPERATIVOS,CURSO ,HABILIDADES Y COMPETENCIAS PARA EL DESARROLLO INTEGRAL DEL AGENTE,14/4/2021,19/04/2021
Femenino,60,COORDINACION GENERAL,CURSO ,HABILIDADES Y COMPETENCIAS PARA EL DESARROLLO INTEGRAL DEL AGENTE,14/4/2021,19/04/2021
Femenino,44,SAPS PARQUE CADENAS,CURSO ,HABILIDADES Y COMPETENCIAS PARA EL DESARROLLO INTEGRAL DEL AGENTE,14/4/2021,19/04/2021
Femenino,37,COORDINACION GENERAL,CURSO ,HABILIDADES Y COMPETENCIAS PARA EL DESARROLLO INTEGRAL DEL AGENTE,14/4/2021,19/04/2021
Femenino,43,SUBSECRETARIA TRANSITO Y SEGURIDAD VIAL,CURSO ,HABILIDADES Y COMPETENCIAS PARA EL DESARROLLO INTEGRAL DEL AGENTE,14/4/2021,19/04/2021
Femenino,43,SUBSECRETARIA DE TRANSPORTE,CURSO ,HABILIDADES Y COMPETENCIAS PARA EL DESARROLLO INTEGRAL DEL AGENTE,14/4/2021,19/04/2021
Femenino,48,GUARDIA URBANA,CURSO ,HABILIDADES Y COMPETENCIAS PARA EL DESARROLLO INTEGRAL DEL AGENTE,14/4/2021,19/04/2021
Femenino,52,DIRECCION DE GESTION DE ESPACIOS VERDES,CURSO ,HABILIDADES Y COMPETENCIAS PARA EL DESARROLLO INTEGRAL DEL AGENTE,14/4/2021,19/04/2021
Femenino,44,ESTACIONAMIENTO MEDIDO,CURSO ,HABILIDADES Y COMPETENCIAS PARA EL DESARROLLO INTEGRAL DEL AGENTE,14/4/2021,19/04/2021
Femenino,50,SALUD,CURSO ,HABILIDADES Y COMPETENCIAS PARA EL DESARROLLO INTEGRAL DEL AGENTE,14/4/2021,19/04/2021
Femenino,44,DIRECCION DE FISCALIZACION COMERCIAL,CURSO ,HABILIDADES Y COMPETENCIAS PARA EL DESARROLLO INTEGRAL DEL AGENTE,14/4/2021,19/04/2021
Femenino,63,JARDIN MITAI ROGA 4,CURSO ,HABILIDADES Y COMPETENCIAS PARA EL DESARROLLO INTEGRAL DEL AGENTE,14/4/2021,19/04/2021
Femenino,54,TRANSPORTE,JORNADA ,PREVENCION CONTRA INCENDIOS,21/4/2021,21/04/2021
Femenino,47,DIRECCION DE TRANSITO,JORNADA ,PREVENCION CONTRA INCENDIOS,21/4/2021,21/04/2021
Femenino,55,CDIR. VII,JORNADA ,PREVENCION CONTRA INCENDIOS,21/4/2021,21/04/2021
Femenino,24,CONSEJO DELIBERANTE,JORNADA ,PREVENCION CONTRA INCENDIOS,21/4/2021,21/04/2021
Femenino,30,BROMATOLOGIA Y SANEAMIENTO,JORNADA ,PREVENCION CONTRA INCENDIOS,21/4/2021,21/04/2021
Femenino,55,SALUD,JORNADA ,PREVENCION CONTRA INCENDIOS,21/4/2021,21/04/2021
Femenino,44,DIR. GRAL. PRIMER NIVEL DE ATENCION,JORNADA ,PREVENCION CONTRA INCENDIOS,21/4/2021,21/04/2021
Masculino,37,SECRETARIA PRIVADA,JORNADA ,PREVENCION CONTRA INCENDIOS,21/4/2021,21/04/2021
Femenino,44,SAPS ANAHI,JORNADA ,PREVENCION CONTRA INCENDIOS,21/4/2021,21/04/2021
Masculino,61,SUBSECRETARIA DE SALUD,JORNADA ,PREVENCION CONTRA INCENDIOS,21/4/2021,21/04/2021
Femenino,58,AOEM,JORNADA ,PREVENCION CONTRA INCENDIOS,21/4/2021,21/04/2021
Masculino,43,MESA DE ENTRADA SUBSECRETARIA DE TRANSITO,JORNADA ,PREVENCION CONTRA INCENDIOS,21/4/2021,21/04/2021
Femenino,52,DIRECCION COORDINACION LOGISTICA Y OPERATIVOS,JORNADA ,PREVENCION CONTRA INCENDIOS,21/4/2021,21/04/2021
Masculino,44,DIR. GRAL. PRIMER NIVEL DE ATENCION,JORNADA ,PREVENCION CONTRA INCENDIOS,21/4/2021,21/04/2021
Masculino,42,SUBSEC. DE TRANSITO Y SEGURIDAD VIAL,JORNADA ,PREVENCION CONTRA INCENDIOS,21/4/2021,21/04/2021
Femenino,37,COORDINACION GENERAL,JORNADA ,PREVENCION CONTRA INCENDIOS,21/4/2021,21/04/2021
Femenino,48,GUARDIA URBANA,JORNADA ,PREVENCION CONTRA INCENDIOS,21/4/2021,21/04/2021
Femenino,37,JUZGADO ADMINISTRATIVO DE FALTAS N° 2,JORNADA ,PREVENCION CONTRA INCENDIOS,21/4/2021,21/04/2021
Femenino,44,DIRECCION DE FISCALIZACION COMERCIAL,JORNADA ,PREVENCION CONTRA INCENDIOS,21/4/2021,21/04/2021
Femenino,63,JARDIN MITAI ROGA 4,JORNADA ,PREVENCION CONTRA INCENDIOS,21/4/2021,21/04/2021
Femenino,40,DOCENTE,JORNADA ,AGENTES MUNICIAPALES: LEY MICAELA,20/4/2021,20/04/2021
Femenino,28,PROGRAMADORA BACKEND,JORNADA ,AGENTES MUNICIAPALES: LEY MICAELA,20/4/2021,20/04/2021
Femenino,41,DOCENTE C.D.I,JORNADA ,AGENTES MUNICIAPALES: LEY MICAELA,20/4/2021,20/04/2021
Femenino,20,SUBSECRETARIA DE MODERNIZACION,JORNADA ,AGENTES MUNICIAPALES: LEY MICAELA,20/4/2021,20/04/2021
Femenino,58,DIR. GRAL. DE ATENCION Y CERCANIA CIUDADANA,JORNADA ,AGENTES MUNICIAPALES: LEY MICAELA,20/4/2021,20/04/2021
Femenino,40,DIRECTORA,JORNADA ,AGENTES MUNICIAPALES: LEY MICAELA,20/4/2021,20/04/2021
Femenino,31,OPERADORA SAC,JORNADA ,AGENTES MUNICIAPALES: LEY MICAELA,20/4/2021,20/04/2021
Masculino,35,DIRECTOR,JORNADA ,AGENTES MUNICIAPALES: LEY MICAELA,20/4/2021,20/04/2021
Masculino,42,ATENCION AL CIUDADANO,JORNADA ,AGENTES MUNICIAPALES: LEY MICAELA,20/4/2021,20/04/2021
Femenino,43,DIRECTORA,JORNADA ,AGENTES MUNICIAPALES: LEY MICAELA,20/4/2021,20/04/2021
Femenino,48,DIRECTORA CDIR. IX,JORNADA ,AGENTES MUNICIAPALES: LEY MICAELA,20/4/2021,20/04/2021
Femenino,49,DIRECTORA,JORNADA ,AGENTES MUNICIAPALES: LEY MICAELA,20/4/2021,20/04/2021
Femenino,55,CDIR. VII,JORNADA ,AGENTES MUNICIAPALES: LEY MICAELA,20/4/2021,20/04/2021
Masculino,44,SISTEMA,JORNADA ,AGENTES MUNICIAPALES: LEY MICAELA,20/4/2021,20/04/2021
Femenino,40,SUPERVISORA,JORNADA ,AGENTES MUNICIAPALES: LEY MICAELA,20/4/2021,20/04/2021
Femenino,41,DOCENTE,JORNADA ,AGENTES MUNICIAPALES: LEY MICAELA,20/4/2021,20/04/2021
Masculino,31,SUBSEC. DE MODERNIZACION. INNOVACION Y TECNOLOGIA,JORNADA ,AGENTES MUNICIAPALES: LEY MICAELA,20/4/2021,20/04/2021
Femenino,39,ATENCION AL CIUDADANO,JORNADA ,AGENTES MUNICIAPALES: LEY MICAELA,20/4/2021,20/04/2021
Femenino,39,ASESOR,JORNADA ,AGENTES MUNICIAPALES: LEY MICAELA,20/4/2021,20/04/2021
Femenino,43,DIRECTORA,JORNADA ,AGENTES MUNICIAPALES: LEY MICAELA,20/4/2021,20/04/2021
Femenino,41,DIRECCION GRAL. DE RR HH,JORNADA ,AGENTES MUNICIAPALES: LEY MICAELA,20/4/2021,20/04/2021
Femenino,22,CDIR. XV MITAI ROGA LAGUNA BRAVA,JORNADA ,AGENTES MUNICIAPALES: LEY MICAELA,20/4/2021,20/04/2021
Femenino,36,ADMINISTRATIVA,JORNADA ,AGENTES MUNICIAPALES: LEY MICAELA,20/4/2021,20/04/2021
Femenino,56,DIRECTORA,JORNADA ,AGENTES MUNICIAPALES: LEY MICAELA,20/4/2021,20/04/2021
Femenino,51,DIRECTORA,JORNADA ,AGENTES MUNICIAPALES: LEY MICAELA,20/4/2021,20/04/2021
NULL,NULL,AUXILIAR DE SALA,JORNADA ,AGENTES MUNICIAPALES: LEY MICAELA,20/4/2021,20/04/2021
Femenino,33,DIR. GRAL. DE INNOVACION PUBLICA Y GOBIERNO ABIERTO,JORNADA ,AGENTES MUNICIAPALES: LEY MICAELA,20/4/2021,20/04/2021
Masculino,33,ASESOR,JORNADA ,AGENTES MUNICIAPALES: LEY MICAELA,20/4/2021,20/04/2021
Femenino,27,DIR. GRAL. DE RECURSOS HUMANOS,JORNADA ,AGENTES MUNICIAPALES: LEY MICAELA,20/4/2021,20/04/2021
NULL,NULL,DIRECTORA,JORNADA ,AGENTES MUNICIAPALES: LEY MICAELA,20/4/2021,20/04/2021
Femenino,69,DIRECTORA,JORNADA ,AGENTES MUNICIAPALES: LEY MICAELA,20/4/2021,20/04/2021
Femenino,48,DOCENTE,JORNADA ,AGENTES MUNICIAPALES: LEY MICAELA,20/4/2021,20/04/2021
Femenino,45,DOCENTE CDIR. V,JORNADA ,AGENTES MUNICIAPALES: LEY MICAELA,20/4/2021,20/04/2021
Femenino,45,DOCENTE,JORNADA ,AGENTES MUNICIAPALES: LEY MICAELA,20/4/2021,20/04/2021
Femenino,25,NULL,JORNADA ,AGENTES MUNICIAPALES: LEY MICAELA,20/4/2021,20/04/2021
Femenino,49,AUXILIAR SALA DE 4,JORNADA ,AGENTES MUNICIAPALES: LEY MICAELA,20/4/2021,20/04/2021
Femenino,49,AUXILIAR DE SALA DE 4.,JORNADA ,AGENTES MUNICIAPALES: LEY MICAELA,20/4/2021,20/04/2021
Femenino,33,SUBSECRETARIA,JORNADA ,AGENTES MUNICIAPALES: LEY MICAELA,20/4/2021,20/04/2021
Femenino,36,DIR. GRAL. DE ATENCION Y CERCANIA CIUDADANA,JORNADA ,AGENTES MUNICIAPALES: LEY MICAELA,20/4/2021,20/04/2021
Femenino,42,DOCENTE,JORNADA ,AGENTES MUNICIAPALES: LEY MICAELA,20/4/2021,20/04/2021
Masculino,37,SECRETARIA PRIVADA,JORNADA ,AGENTES MUNICIAPALES: LEY MICAELA,20/4/2021,20/04/2021
Femenino,27,DIR. GRAL. DE INNOVACION PUBLICA Y GOBIERNO ABIERTO,JORNADA ,AGENTES MUNICIAPALES: LEY MICAELA,20/4/2021,20/04/2021
Femenino,35,DIRECCION GRAL. DE RR HH,JORNADA ,AGENTES MUNICIAPALES: LEY MICAELA,20/4/2021,20/04/2021
Femenino,56,DOCENTE,JORNADA ,AGENTES MUNICIAPALES: LEY MICAELA,20/4/2021,20/04/2021
Femenino,42,RECURSOS HUMANOS. ATC,JORNADA ,AGENTES MUNICIAPALES: LEY MICAELA,20/4/2021,20/04/2021
Femenino,33,SUBSEC. DE MODERNIZACION. INNOVACION Y TECNOLOGIA,JORNADA ,AGENTES MUNICIAPALES: LEY MICAELA,20/4/2021,20/04/2021
Femenino,30,DIR. DE DESEMPENO Y POTENCIAL,JORNADA ,AGENTES MUNICIAPALES: LEY MICAELA,20/4/2021,20/04/2021
Femenino,42,CDIR. MITAI ROGA XII DOCENTE,JORNADA ,AGENTES MUNICIAPALES: LEY MICAELA,20/4/2021,20/04/2021
Femenino,50,DIRECTORA,JORNADA ,AGENTES MUNICIAPALES: LEY MICAELA,20/4/2021,20/04/2021
Femenino,46,DIRECCION GRAL. DE RR HH,JORNADA ,AGENTES MUNICIAPALES: LEY MICAELA,20/4/2021,20/04/2021
Femenino,50,DOCENTE,JORNADA ,AGENTES MUNICIAPALES: LEY MICAELA,20/4/2021,20/04/2021
Femenino,35,DOCENTE,JORNADA ,AGENTES MUNICIAPALES: LEY MICAELA,20/4/2021,20/04/2021
Femenino,30,SUBSECRETARIA DE EDUCACION,JORNADA ,AGENTES MUNICIAPALES: LEY MICAELA,20/4/2021,20/04/2021
Femenino,29,DIR. DE DESEMPENO Y POTENCIAL,JORNADA ,AGENTES MUNICIAPALES: LEY MICAELA,20/4/2021,20/04/2021
Femenino,27,DIRECCION DE INNOVACION PUBLICA Y GOBIERNO ABIERTO,JORNADA ,AGENTES MUNICIAPALES: LEY MICAELA,20/4/2021,20/04/2021
Femenino,32,ASESOR,JORNADA ,AGENTES MUNICIAPALES: LEY MICAELA,20/4/2021,20/04/2021
Femenino,35,DIR. GRAL. DE ATENCION Y CERCANIA CIUDADANA,JORNADA ,AGENTES MUNICIAPALES: LEY MICAELA,20/4/2021,20/04/2021
Masculino,26,INNOVACION PUBLICA Y GOBIERNO ABIERTO,JORNADA ,AGENTES MUNICIAPALES: LEY MICAELA,20/4/2021,20/04/2021
Masculino,32,DIR. GRAL. DE RECURSOS HUMANOS,JORNADA ,AGENTES MUNICIAPALES: LEY MICAELA,20/4/2021,20/04/2021
Femenino,49,DIRECTORA,JORNADA ,AGENTES MUNICIAPALES: LEY MICAELA,20/4/2021,20/04/2021
Femenino,31,OPERADORA DEL 0800,JORNADA ,AGENTES MUNICIAPALES: LEY MICAELA,20/4/2021,20/04/2021
Femenino,64,ADNINISTRATIVA,JORNADA ,AGENTES MUNICIAPALES: LEY MICAELA,20/4/2021,20/04/2021
Femenino,39,JEFE DE DEPARTAMENTO,JORNADA ,AGENTES MUNICIAPALES: LEY MICAELA,20/4/2021,20/04/2021
Femenino,33,SUBSEC. DE MODERNIZACION. INNOVACION Y TECNOLOGIA,JORNADA ,AGENTES MUNICIAPALES: LEY MICAELA,20/4/2021,20/04/2021
Masculino,28,ADMINISTRATIVO,JORNADA ,AGENTES MUNICIAPALES: LEY MICAELA,20/4/2021,20/04/2021
Femenino,33,EQUIPO INTERDIR.SCIPLINARIO DE SUBSECRETARIA DE EDUCACION,JORNADA ,AGENTES MUNICIAPALES: LEY MICAELA,20/4/2021,20/04/2021
